;Version, 1, 0
;S11 dB20,;S12 dB20,;S21 dB20,;S22 dB20
;X, Y,;X, Y,;X, Y,;X, Y
;Re, Re,;Re, Re,;Re, Re,;Re, Re
;freq, S-Param,;freq, S-Param,;freq, S-Param,;freq, S-Param
;Hz, dB,;Hz, dB,;Hz, dB,;Hz, dB
1000,-0.148944018721555,1000,-318.9177419841569,1000,-129.1407388937486,1000,-4.700710668473374e-11
1002.3052380779,-0.1489440187220691,1002.3052380779,-318.8777514839159,1002.3052380779,-129.1207388937974,1002.3052380779,-4.722311603724284e-11
1004.615790278395,-0.1489440187225871,1004.615790278395,-318.8377609400496,1004.615790278395,-129.1007388938466,1004.615790278395,-4.744201837215163e-11
1006.931668851804,-0.1489440187230736,1006.931668851804,-318.7977703527562,1006.931668851804,-129.0807388938962,1006.931668851804,-4.76589920521273e-11
1009.252886076684,-0.1489440187235916,1009.252886076684,-318.757779722238,1009.252886076684,-129.0607388939461,1009.252886076684,-4.787885871450266e-11
1011.579454259898,-0.1489440187241096,1011.579454259898,-318.7177890486914,1011.579454259898,-129.0407388939964,1011.579454259898,-4.809968970434459e-11
1013.911385736679,-0.148944018724604,1013.911385736679,-318.6777983323104,1013.911385736679,-129.020738894047,1013.911385736679,-4.831955636671996e-11
1016.248692870695,-0.1489440187250965,1016.248692870695,-318.6378075732994,1016.248692870695,-129.000738894098,1016.248692870695,-4.854617332136124e-11
1018.591388054117,-0.1489440187256046,1018.591388054117,-318.597816771849,1018.591388054117,-128.9807388941495,1018.591388054117,-4.876796863866974e-11
1020.93948370768,-0.1489440187260618,1020.93948370768,-318.5578259281568,1020.93948370768,-128.9607388942012,1020.93948370768,-4.899651424824416e-11
1023.292992280754,-0.148944018726568,1023.292992280754,-318.517835042411,1023.292992280754,-128.9407388942533,1023.292992280754,-4.922120254795235e-11
1025.651926251407,-0.1489440187270781,1025.651926251407,-318.4778441148131,1025.651926251407,-128.9207388943058,1025.651926251407,-4.944492652019398e-11
1028.016298126473,-0.1489440187275588,1028.016298126473,-318.4378531455471,1028.016298126473,-128.9007388943587,1028.016298126473,-4.967540078470153e-11
1030.386120441616,-0.1489440187280562,1030.386120441616,-318.3978621348098,1030.386120441616,-128.8807388944119,1030.386120441616,-4.990587504920909e-11
1032.761405761397,-0.148944018728529,1032.761405761397,-318.3578710827878,1032.761405761397,-128.8607388944655,1032.761405761397,-5.013442065878352e-11
1035.142166679343,-0.1489440187290038,1035.142166679343,-318.3178799896754,1035.142166679343,-128.8407388945195,1035.142166679343,-5.036682357822422e-11
1037.528415818012,-0.1489440187294923,1037.528415818012,-318.2778888556571,1037.528415818012,-128.8207388945739,1037.528415818012,-5.059729784273179e-11
1039.920165829059,-0.148944018729976,1039.920165829059,-318.2378976809214,1039.920165829059,-128.8007388946286,1039.920165829059,-5.083259374457216e-11
1042.317429393303,-0.1489440187304341,1042.317429393303,-318.1979064656572,1042.317429393303,-128.7807388946837,1042.317429393303,-5.106596099147944e-11
1044.720219220799,-0.1489440187309187,1044.720219220799,-318.1579152100479,1044.720219220799,-128.7607388947392,1044.720219220799,-5.130222122078638e-11
1047.128548050899,-0.1489440187313994,1047.128548050899,-318.1179239142776,1047.128548050899,-128.7407388947951,1047.128548050899,-5.154137443249301e-11
1049.542428652321,-0.1489440187318575,1049.542428652321,-318.0779325785374,1049.542428652321,-128.7207388948513,1049.542428652321,-5.177667033433341e-11
1051.961873823222,-0.1489440187323088,1051.961873823222,-318.0379412030052,1051.961873823222,-128.7007388949079,1051.961873823222,-5.201582354604005e-11
1054.386896391258,-0.1489440187327768,1054.386896391258,-317.9979497878643,1054.386896391258,-128.6807388949649,1054.386896391258,-5.22597983950795e-11
1056.817509213658,-0.1489440187332624,1056.817509213658,-317.9579583332942,1056.817509213658,-128.6607388950224,1056.817509213658,-5.24979872793196e-11
1059.253725177288,-0.1489440187337156,1059.253725177288,-317.9179668394814,1059.253725177288,-128.6407388950801,1059.253725177288,-5.274099780089249e-11
1061.695557198723,-0.1489440187341659,1061.695557198723,-317.8779753066038,1061.695557198723,-128.6207388951383,1061.695557198723,-5.298593697739853e-11
1064.143018224315,-0.14894401873462,1064.143018224315,-317.8379837348385,1064.143018224315,-128.6007388951969,1064.143018224315,-5.322701884403832e-11
